Date,Open,High,Low,Close,Volume,Adj Close
2012-01-18,149.00,150.899994,148.679993,150.539993,195900,150.539993
2012-01-17,150.25,151.050003,150.110001,150.320007,155000,150.320007
2012-01-13,146.119995,147.279999,145.119995,147.199997,119800,147.199997
2012-01-12,148.100006,148.50,147.020004,147.979996,104200,147.979996
2012-01-11,146.690002,148.059998,146.229996,147.570007,118900,147.570007
2012-01-10,144.279999,145.309998,143.919998,144.619995,173500,144.619995
2012-01-09,138.820007,141.399994,138.350006,141.160004,133000,141.160004
2012-01-06,139.929993,139.979996,138.130005,138.559998,86100,138.559998
2012-01-05,139.279999,140.039993,138.960007,139.830002,55100,139.830002
2012-01-04,140.259995,141.259995,140.00,140.539993,96000,140.539993
2012-01-03,139.339996,141.529999,139.100006,141.529999,148200,141.529999
2011-12-30,136.910004,139.009995,136.600006,137.820007,91200,137.820007
2011-12-29,133.860001,136.330002,133.00,135.449997,136500,135.449997
2011-12-28,138.539993,138.830002,136.380005,136.860001,203500,136.860001
2011-12-27,141.490005,142.070007,141.419998,141.580002,65000,141.580002
2011-12-23,141.529999,141.759995,140.800003,141.00,32900,141.00
2011-12-22,140.029999,140.990005,139.960007,140.639999,59300,140.639999
2011-12-21,141.139999,141.880005,140.130005,141.410004,74200,141.410004
2011-12-20,141.240005,142.00,140.919998,141.360001,63200,141.360001
2011-12-19,140.070007,140.320007,139.00,139.039993,133800,139.039993
2011-12-16,140.419998,141.020004,139.539993,140.259995,64700,140.259995
2011-12-15,140.440002,140.440002,138.399994,139.020004,187500,139.020004
2011-12-14,141.899994,142.089996,139.080002,140.160004,175500,140.160004
2011-12-13,147.350006,148.740005,145.179993,145.460007,108000,145.460007
2011-12-12,147.199997,147.220001,146.479996,146.880005,112600,146.880005
2011-12-09,147.940002,149.869995,147.800003,149.820007,108200,149.820007
2011-12-08,148.880005,149.589996,147.399994,147.600006,112700,147.600006
2011-12-07,150.289993,150.880005,149.139999,150.850006,67900,150.850006
2011-12-06,149.339996,150.979996,148.279999,150.940002,100500,150.940002
2011-12-05,151.839996,152.460007,150.320007,150.770004,107200,150.770004
2011-12-02,154.440002,154.440002,152.630005,152.789993,43900,152.789993
2011-12-01,154.119995,155.139999,153.699997,154.399994,83600,154.399994
2011-11-30,153.110001,154.309998,152.720001,153.899994,166800,153.899994
2011-11-29,152.039993,152.619995,151.399994,151.789993,76800,151.789993
2011-11-28,153.880005,154.080002,152.00,152.449997,54100,152.449997
2011-11-25,151.220001,152.679993,150.839996,151.210007,105000,151.210007
2011-11-23,153.600006,153.979996,151.919998,153.100006,156600,153.100006
2011-11-22,153.660004,155.320007,153.619995,155.139999,68000,155.139999
2011-11-21,155.139999,155.139999,151.880005,153.020004,203200,153.020004
2011-11-18,157.25,157.880005,156.440002,157.020004,84800,157.020004
2011-11-17,158.559998,159.100006,155.800003,156.679993,89900,156.679993
2011-11-16,160.929993,161.50,159.759995,160.130005,62400,160.130005
2011-11-15,162.199997,162.639999,161.029999,162.029999,40900,162.029999
2011-11-14,163.270004,163.360001,161.919998,162.460007,37700,162.460007
2011-11-11,161.520004,162.729996,161.330002,162.520004,50900,162.520004
2011-11-10,160.970001,161.179993,158.720001,160.350006,63700,160.350006
2011-11-09,162.899994,163.119995,160.419998,161.160004,86900,161.160004
2011-11-08,164.399994,165.199997,164.00,164.130005,67200,164.130005
2011-11-07,162.139999,164.149994,162.119995,164.070007,93300,164.070007
2011-11-04,161.419998,161.940002,160.600006,161.820007,19600,161.820007
2011-11-03,162.350006,162.699997,159.910004,162.210007,63900,162.210007
2011-11-02,158.979996,159.759995,157.800003,158.25,87700,158.25
2011-11-01,154.779999,157.539993,154.380005,157.240005,115500,157.240005
2011-10-31,159.800003,160.009995,158.169998,158.429993,70800,158.429993
2011-10-28,161.570007,163.350006,161.460007,162.839996,54500,162.839996
2011-10-27,159.990005,162.460007,159.339996,162.110001,190100,162.110001
2011-10-26,157.380005,157.960007,156.699997,157.949997,98600,157.949997
2011-10-25,152.970001,155.210007,152.100006,154.490005,136300,154.490005
2011-10-24,151.399994,153.139999,151.399994,152.820007,90400,152.820007
2011-10-21,149.529999,149.770004,148.929993,149.559998,39600,149.559998
2011-10-20,147.440002,148.350006,145.649994,147.779999,92600,147.779999
2011-10-19,151.770004,151.960007,149.619995,150.089996,37100,150.089996
2011-10-18,151.509995,152.679993,150.199997,152.00,64900,152.00
2011-10-17,155.289993,155.289993,153.25,153.919998,81300,153.919998
2011-10-14,154.009995,154.080002,152.580002,153.649994,40500,153.649994
2011-10-13,152.020004,152.070007,150.789993,151.399994,45500,151.399994
